URL,Position,Domain,Title
https://www.stadt-zuerich.ch/sd/de/index/familien_kinder_jugendliche/kinderbetreuung/suche/Ferienangebote.html,1,www.stadt-zuerich.ch,Ferienangebote - Stadt Zürich
https://www.zsf.ch/,1,www.zsf.ch,Stiftung ZÜRCHER SCHÜLERFERIEN: ZSF
https://www.stadt-zuerich.ch/ssd/de/index/sport/sport-fuer-kinder-jugendliche/sportlager.html,2,www.stadt-zuerich.ch,Sportlager - Stadt Zürich
https://www.kihz.uzh.ch/de/kihz-ferien.html,2,www.kihz.uzh.ch,kihz Ferienbetreuung - UZH
https://www.zh.ch/de/sport-kultur/sport/kinder-jugendsport/jugendsportcamps.html,2,www.zh.ch,Jugendsportcamps | Kanton Zürich
https://xlabs.ch/de/zuerich/ferienkurse,3,xlabs.ch,Ferienkurse - X Labs Zurich
https://www.fuerslebengut.ch/kinder-haben-viel-mehr-ferien-als-ihre-eltern-was-tun/,3,www.fuerslebengut.ch,Kinder haben viel mehr Ferien als ihre Eltern - fürs Leben gut
https://lolabrause.ch/veranstaltungen/ferienangebote/,4,lolabrause.ch,Ferienangebote für Kinder in der Schweiz - Zürich - Lolabrause
https://juvigo.ch/de/feriencamps/feriencamps-zuerich,4,juvigo.ch,Feriencamps Zürich 2022 - Mit Juvigo ins Ferienlager
https://www.projuventute.ch/de/eltern/freizeit-ferien/ferienplausch-zuerich,4,www.projuventute.ch,Ferienplausch Zürich und Umgebung - Pro Juventute
https://www.kidsco.ch/ferienbetreuung,5,www.kidsco.ch,kids & co Ferienbetreuung
https://www.schoeb-events.ch/ferien-events/angebot/,7,www.schoeb-events.ch,Ferienbetreuung Angebot - Schöb Events
https://ferienprogramm.ch/,8,ferienprogramm.ch,Ferienprogramm.ch: Anstehende Veranstaltungen
https://www.kindaling.de/ferien/zuerich,8,www.kindaling.de,Feriencamps und Ferienfreizeiten für Kinder in Zürich
https://zuerifiesch.ch/,8,zuerifiesch.ch,Zürcher Sportferienlager Fiesch
https://lfz.ch/de/home-2-2/dienstleistungen/ferienbetreuung/,9,lfz.ch,Ferienbetreuung - Lycée Français de Zurich - DE
https://www.kinder-camps.ch/,9,www.kinder-camps.ch,Kinder-Camps
https://www.fliplab.ch/zurich/feriencamp/,9,www.fliplab.ch,Das ultimative FerienCamp im Trampolinpark - FLIP LAB Zürich
https://www.zoo.ch/de/erlebnisse-im-zoo/erlebnisse/ferienangebote-fuer-kinder,10,www.zoo.ch,Ferienangebote für Kinder - Zoo Zürich
https://www.wwf.ch/de/projekte/erlebnisse-die-bleiben-die-wwf-ferienlager,10,www.wwf.ch,"Erlebnisse, die bleiben: Die WWF-Ferienlager"
https://famigros.migros.ch/de/ausfluege-und-freizeit/familienferien/ferienkurse-fuer-kinder,11,famigros.migros.ch,Kinder-Ferienkurse und Camps - Famigros
https://ethz.ch/staffnet/de/anstellung-und-arbeit/arbeitsumfeld/diversity/angebote-und-beratung/kinder/ferienspass.html,11,ethz.ch,Ferienangebote – Staffnet - ETH Zürich
https://www.schneezueri.ch/,12,www.schneezueri.ch,"Skilager und Snowboardcamps den Weihnachtsferien, den ..."
https://www.dinsle-montessori.ch/angebot/betreuung,13,www.dinsle-montessori.ch,Betreuung - d'Insle Montessori-Schule - Zürich
https://www.jugendsportcamps.ch/,13,www.jugendsportcamps.ch,Jugendsportcamps
https://solinetz-zh.ch/projekte/ferienwoche/,14,solinetz-zh.ch,Ferienwoche - Solinetz Zürich
https://www.schoeb-events.ch/herbstferien-region-zuerich/,14,www.schoeb-events.ch,Herbstferien Region Zürich - Schöb Events
https://www.swissinternationalschool.ch/de-CH/Schulorte/Zuerich/Tagesschulangebote/Ferienbetreuung,14,www.swissinternationalschool.ch,Ferienbetreuung - SIS Zürich - SIS Swiss International School
https://www.srk-zuerich.ch/mitmachen/jrk/gemeinsam-gestalten,15,www.srk-zuerich.ch,Ermögliche Jugendlichen eine kreative Ferienwoche
https://www.milandia.ch/sport-freizeit/familien-kinder/feriencamp/,15,www.milandia.ch,FerienCamp: Für unvergessliche Ferientage! - Milandia
https://www.plantsciences.uzh.ch/de/outreach/ferienlager.html,16,www.plantsciences.uzh.ch,Ferienlager - Zurich-Basel Plant Science Center - UZH
https://insieme-zuerich.ch/angebote/ferien-fuer-behinderte,16,insieme-zuerich.ch,Ferien - Freizeitangebote für Menschen mit einer Behinderung
https://www.kihz.uzh.ch/de/kihz-ferien/ferien-programm.html,16,www.kihz.uzh.ch,Programm 2022 - Stiftung kihz - UZH
https://explorit.ch/de/volketswil/kidsclub/feriencamp/,17,explorit.ch,Feriencamp in Volketswil Zürich - EXPLORiT
https://www.lipschule.ch/en/lipschule-agenda/,18,www.lipschule.ch,"Private all-day school Zurich agenda activities, events"
https://www.skateacademy.ch/FERIENCAMPS/,18,www.skateacademy.ch,FERIENCAMPS - STRICKER FREESTYLE SPORTS GMBH
https://www.camprock.ch/,18,www.camprock.ch,Camp Rock | Ferienlager für Kinder und Teenager
https://www.allegradesign.ch/,19,www.allegradesign.ch,"Allegra Design: Fashion Design Camps, DIY Events ..."
https://salzh.ch/anmeldung-ferienhort/,19,salzh.ch,Anmeldung Ferienhort - Schulalternative Zürich (SalZH)
https://www.familienleben.ch/freizeit/ferien-reisen/ferienpassideen-fuer-die-herbstferien-2802,19,www.familienleben.ch,Ferienprogramm gesucht? Workshops & Camps für die ...
https://www.zsf.ch/ueber-uns/leitgedanke-und-konzept/,20,www.zsf.ch,Leitgedanke und Konzept
https://www.kinderlager.ch/,20,www.kinderlager.ch,"kinderlager.ch - Ferienlager für Kinder (Pfila, Sola, Hela)"
https://mental-stark4.com/angebot-mental-stark4/kurse-und-trainings/sport-mental-camps-fuer-kids/,20,mental-stark4.com,Sport Feriencamps für Kinder und Teenager in Zürich
https://www.tandem-ims.ch/de/school-holidays,21,www.tandem-ims.ch,School Holidays - schulferien - Tandem IMS
https://kikuka.ch/veranstalter/COOL-TUR%20%E2%80%93%20Ferienkurse%20f%C3%BCr%20Kinder,21,kikuka.ch,COOL-TUR – Ferienkurse für Kinder - KiKuKa
https://www.cerebral-zuerich.ch/de/angebote,22,www.cerebral-zuerich.ch,Angebote - Vereinigung Cerebral Zürich
https://www.lakesideschool.ch/de/,22,www.lakesideschool.ch,Lakeside - Lakesideschool - Deutsch
https://www.schule-ilef.ch/ferienplan,23,www.schule-ilef.ch,Ferienplan - Schule Illnau-Effretikon
https://www.qurs.ch/0007r-2018-5-schach-feriencamp-in-oerlikon.html,23,www.qurs.ch,Schach Feriencamp in Zürich Oerlikon - Qurs.ch
http://www.gemeinderat-zuerich.ch/DocumentLoader.aspx?lib=doc&ID=84379f1c-3d89-4eb6-989e-166cf5abc11b&Title=2022_0311.pdf,23,www.gemeinderat-zuerich.ch,Weisung des Stadtrats an den Gemeinderat
https://www.troll-waldkinder.ch/de/waldkindergarten,24,www.troll-waldkinder.ch,waldkindergarten - Troll Kinder im Wald
https://www.profussballevent.ch/anmeldung/fussballcamps-2021.html,24,www.profussballevent.ch,Fussballcamps 2022 | Fussballcamp
